2020-08-29,,,,,,,,
,,,,,,,,
Item #,*Designator,*Qty,Manufacturer,*Mfg Part #,Description / Value,*Package/Footprint ,Type,Your Instructions / Notes
1,U1,1,Hornet,ORG1411-PM04,,,DNS,
2,U2,1,Texas Instruments,SN74AUP1T08DCKR,"Level translator gate,1.8/2.5/3.3 Vin,3.3V CMOS Out",SC-70-5,SMD,
3,U3,1,Texas Instruments,SN74LV1T126DBVR,Voltage level translator with output enable,SOT-23-5,SMD,
4,U4,1,Texas Instruments,TPS62203DBVR,3.3V Out Hi-Eff Step-Down Converter,SOT-23-5,SMD,
5,U5,1,Texas Instruments,SN74LVC1G14DBVR,Single Schmitt-trigger inverter,SOT-23-5,SMD,
6,L1,1,TDK,MPZ2012S601AT000,Ferrite Bead 600ohms 2A 100mOhms 0805,805,SMD,
7,L2,1,Tayio Yuden,CB2012T100KR,Inductor 0805 10uH 650mOhms +/-10% 200mA,805,SMD,
8,R1,1,Yageo,RC0603FR-0710KL,RES 10K 1%/5% 0603,603,SMD,
9,"R2,R6",2,Yageo,RC0603FR-0733RL,RES 33 Ohm 1%/5% 0603,603,SMD,
10,"R3,R4,R5,R7,R11",5,Yageo,AC0603FR-1033KL,RES 33 kOhm 1%/5% 0603,603,SMD,
11,"R8,R9",2,Yageo,RC0603FR-071KL,RES 1 kOhm 1%/5% 0603,603,SMD,
12,R10,1,Yageo,AC0603FR-10470RL,RES 470 Ohm 1%/5% 0603,603,SMD,
13,C1,1,Kemet,C0805C105K3RACTU,CAP 1u 10% 0805,805,SMD,
14,C2,1,Yageo,AC0402JRNPO9BN180,CAP 18p 10% 0402,402,SMD,
15,"C3,C10",2,Tayio Yuden,TMK105B7104MV-FR,CAP 100n 10% 0402,402,SMD,
16,"C4, C9",2,Kemet,C0603C104M4RACAUTO,CAP 100n 10% 0603,603,SMD,
17,C5,1,Walsin,0805X475M250CT,CAP 4.7u 10% 0805,805,SMD,
18,C6,1,Kemet,C0603C104M4RACAUTO,CAP 10n 10% 0603,603,SMD,
19,C7,1,Walsin,0805F106Z6R3CT,CAP 10u 10% 0805,805,SMD,
20,C8,1,Walsin,0805X225M160CT,CAP 2.2u 10% 0805,805,SMD,
21,Q1,1,ON Semiconductor,2N7002WT1G,Small signal MOSFET 310mA 1.6 Ohm,SC-70-3,SMD,
22,D1,1,ON Semiconductor,RB521S30T5G,Shottky diode,SOD-523,SMD,
23,"D2,D3",2,Wurth Elektronik,150080VS75000,Green SMD LED,805,SMD,
24,SW1,0,,,,,DNS,
